"Category","Command","Key","Bound"
"MIDI","Toggle Step Input","Ctrl+Alt+Shift+F20","True"
"MIDI","Transpose","Alt+F10","True"
"MIDI","Transpose Notes","Alt+F11","True"
"MIDI","Type of New Controller Events: Toggle Step/Ramp","Alt+F12","True"
"MIDI","Undo Quantize","Ctrl+Alt+Shift+9","True"
"MIDI","Velocity","Alt+F13","True"
"MIDI Quantize","Auto Quantize On/Off","Alt+F14","True"
"MIDI Quantize","Select Next Quantize","Alt+F15","True"
"MIDI Quantize","Select Prev Quantize","Alt+F16","True"
"MIDI Quantize","Set Quantize to 128th","Alt+F17","True"
"MIDI Quantize","Set Quantize to 16th","Alt+F18","True"
"MIDI Quantize","Set Quantize to 1th","Alt+F19","True"
"MIDI Quantize","Set Quantize to 2th","Alt+F20","True"
"MIDI Quantize","Set Quantize to 32th","Alt+F21","True"
"MIDI Quantize","Set Quantize to 4th","Alt+F22","True"
"MIDI Quantize","Set Quantize to 64th","Alt+F23","True"
"MIDI Quantize","Set Quantize to 8th","Alt+F24","True"
"MIDI Quantize","Toggle Quantize Dotted","Alt+Num0","True"
"MIDI Quantize","Toggle Quantize Triplet","Alt+Num1","True"
"MIDI Remote","Open MIDI Remote Mapping Assistant",,"False"
"MIDI Remote","Scripting Tools: Highlight Bounding Rects",,"False"
"MIDI Remote","Scripting Tools: Open Console",,"False"
"MIDI Remote","Scripting Tools: Open ReadMe",,"False"
"MIDI Remote","Scripting Tools: Open Script Folder",,"False"
"MIDI Remote","Scripting Tools: Reload Scripts",,"False"
"MIDI Remote","Show/Hide Functions Browser in MIDI Remote Mapping Assistant",,"False"
"MixConsole History","Redo MixConsole Step","Alt+Shift+Z","True"
"MixConsole History","Undo MixConsole Step","Alt+Z","True"
"MixConsole Snapshots","Recall Snapshot 1","Ctrl+Alt+Shift+0","True"
"MixConsole Snapshots","Recall Snapshot 10",,"False"
"MixConsole Snapshots","Recall Snapshot 2","Ctrl+Alt+Shift+2","True"
"MixConsole Snapshots","Recall Snapshot 3","Ctrl+Alt+Shift+3","True"
"MixConsole Snapshots","Recall Snapshot 4",,"False"
"MixConsole Snapshots","Recall Snapshot 5",,"False"
"MixConsole Snapshots","Recall Snapshot 6",,"False"
"MixConsole Snapshots","Recall Snapshot 7",,"False"
"MixConsole Snapshots","Recall Snapshot 8",,"False"
"MixConsole Snapshots","Recall Snapshot 9",,"False"
"MixConsole Snapshots","Save MixConsole Snapshot","Ctrl+Alt+Shift+C","True"
"Mixer","Add Track To Selected: FX Channel","Ctrl+Alt+Shift+X","True"
"Mixer","Add Track To Selected: Group Channel","Ctrl+Alt+Shift+G","True"
"Mixer","Add Track To Selected: VCA Fader","Ctrl+Alt+Shift+V","True"
"Mixer","Arm All Audio Tracks",,"False"
"Mixer","Bypass: Channel Strip","Ctrl+Alt+Shift+H","True"
"Mixer","Bypass: Channel Strip on Main Mix",,"False"
"Mixer","Bypass: EQs","Ctrl+Alt+Shift+E","True"
"Mixer","Bypass: EQs on Main Mix",,"False"
"Mixer","Bypass: Inserts","Ctrl+Alt+Shift+B","True"
"Mixer","Bypass: Inserts on Main Mix",,"False"
"Mixer","Bypass: Modulators","Ctrl+Alt+Shift+W","True"
"Mixer","Bypass: Sends","Ctrl+Alt+Shift+N","True"
"Mixer","Channel and Rack Configuration 1",,"False"
"Mixer","Channel and Rack Configuration 2",,"False"
"Mixer","Channel and Rack Configuration 3",,"False"
"Mixer","Channel and Rack Configuration 4",,"False"
"Mixer","Channel and Rack Configuration 5",,"False"
"Mixer","Channel and Rack Configuration 6",,"False"
"Mixer","Channel and Rack Configuration 7",,"False"
"Mixer","Channel and Rack Configuration 8",,"False"
"Mixer","channelOrganizerRedo",,"False"
"Mixer","channelOrganizerUndo",,"False"
"Mixer","Channels: Listen On/Off",,"False"
"Mixer","Control Link: Edit Control Link Settings",,"False"
"Mixer","Control Link: Next Control Link Group",,"False"
"Mixer","Control Link: Previous Control Link Group",,"False"
"Mixer","Direct Routing: Summing Mode On/Off",,"False"
"Mixer","Disarm All Audio Tracks",,"False"
"Mixer","EQ/Filter Transition: Quick",,"False"
"Mixer","EQ/Filter Transition: Soft",,"False"
"Mixer","Expand: Channel Strip",,"False"
"Mixer","Expand: Cue Sends",,"False"
"Mixer","Expand: Device Panels",,"False"
"Mixer","Expand: Direct Routing",,"False"
"Mixer","Expand: EQs",,"False"
"Mixer","Expand: Filters/Gain",,"False"
"Mixer","Expand: Inserts",,"False"
"Mixer","Expand: Modulators",,"False"
"Mixer","Expand: Quick Controls",,"False"
"Mixer","Expand: Routing",,"False"
"Mixer","Expand: Sends",,"False"
"Mixer","Expand: VCA",,"False"
"Mixer","File: Load Selected Channels",,"False"
"Mixer","File: Save Selected Channels",,"False"
"Mixer","Hide: Audio",,"False"
"Mixer","Hide: Drums",,"False"
"Mixer","Hide: Groups",,"False"
"Mixer","Hide: Hide All",,"False"
"Mixer","Hide: Inputs",,"False"
"Mixer","Hide: Instruments",,"False"
"Mixer","Hide: MIDI",,"False"
"Mixer","Hide: Outputs",,"False"
"Mixer","Hide: Returns",,"False"
"Mixer","Hide: Reveal All",,"False"
"Mixer","Hide: Samplers",,"False"
"Mixer","Hide: VCAs",,"False"
"Mixer","HideSelected",,"False"
"Mixer","Insert 01: Open/Close Editor for Selected Track/Channel","Ctrl+Alt+Shift+F16","True"
"Mixer","Insert 02: Open/Close Editor for Selected Track/Channel","Ctrl+Alt+Shift+F17","True"
"Mixer","Insert 03: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 04: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 05: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 06: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 07: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 08: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 09: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 10: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 11: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 12: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 13: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 14: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 15: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Insert 16: Open/Close Editor for Selected Track/Channel",,"False"
"Mixer","Inserts: Close All Editors for Selected Track/Channel","Ctrl+Alt+Shift+F18","True"
"Mixer","Link Channels",,"False"
"Mixer","Load FX Chain Preset for Selected Channel",,"False"
"Mixer","Loudness: Enable",,"False"
"Mixer","Loudness: Reset",,"False"
"Mixer","Loudness: Switch between +9dB and +18dB Scale",,"False"
"Mixer","Loudness: Switch between LU and LUFS",,"False"
"Mixer","Master Meter: AES17 (+3dB)",,"False"
"Mixer","Meters: Hold Forever",,"False"
"Mixer","Meters: Hold Peaks",,"False"
"Mixer","Meters: Input",,"False"
"Mixer","Meters: Post Fader",,"False"
"Mixer","Meters: Post Panner",,"False"
"Mixer","Meters: Reset",,"False"
"Mixer","Panner: Open/Close Selected",,"False"
"Mixer","Pre/Post",,"False"
"Mixer","Q-Link",,"False"
"Mixer","Settings: Open/Close Selected",,"False"
"Mixer","Show/Hide Channel Name",,"False"
"Mixer","Show/Hide Channel Overview",,"False"
"Mixer","Show/Hide Equalizer Curve",,"False"
"Mixer","Show/Hide Fader",,"False"
"Mixer","Show/Hide Latency",,"False"
"Mixer","Show/Hide Meter Bridge",,"False"
"Mixer","Show/Hide Notepad",,"False"
"Mixer","Show/Hide Pictures",,"False"
"Mixer","ShowAll",,"False"
"Mixer","ShowConnected",,"False"
"Mixer","ShowCycle",,"False"
"Mixer","ShowPlaying",,"False"
"Mixer","ShowSelected",,"False"
"Mixer","ShowUsed",,"False"
"Mixer","Unlink Channels",,"False"
"Mixer","Views: Channel Strip",,"False"
"Mixer","Views: Cue Sends",,"False"
"Mixer","Views: Device Panels",,"False"
"Mixer","Views: Direct Routing",,"False"
"Mixer","Views: EQs",,"False"
"Mixer","Views: Filters/Gain",,"False"
"Mixer","Views: Inserts",,"False"
"Mixer","Views: Modulators",,"False"
"Mixer","Views: Quick Controls",,"False"
"Mixer","Views: Routing",,"False"
"Mixer","Views: Sends",,"False"
"Mixer","Views: VCA",,"False"
"Mixer","Windows: Close All Plug-Ins",,"False"
"Mixer","Zoom In",,"False"
"Mixer","Zoom In Vertically",,"False"
"Mixer","Zoom Out",,"False"
"Mixer","Zoom Out Vertically",,"False"
"Modulators","Open Modulators in Lower Zone",,"False"
"Modulators","Open Modulators in Window",,"False"
"Navigate","Add Down","Shift+Down Arrow","True"
"Navigate","Add Left","Shift+Left Arrow","True"
"Navigate","Add Right","Shift+Right Arrow","True"
"Navigate","Add Up","Shift+Up Arrow","True"
"Navigate","Back",,"False"
"Navigate","Bottom","End","True"
"Navigate","Down","Down Arrow","True"
"Navigate","Focus Next Plug-in","Ctrl+Alt+Shift+F24","True"
"Navigate","Focus Previous Plug-in",,"False"
"Navigate","Fore",,"False"
"Navigate","Left","Left Arrow","True"
"Navigate","Less",,"False"
"Navigate","More",,"False"
"Navigate","Page Down",,"False"
"Navigate","Page Up",,"False"
"Navigate","Right","Right Arrow","True"
"Navigate","Toggle Selection","Ctrl+Space","True"
"Navigate","Top","Home","True"
"Navigate","Up","Up Arrow","True"
"Note Expression","Consolidate Note Expression Overlaps",,"False"
"Note Expression","Convert to Note Expression",,"False"
"Note Expression","Dissolve Note Expression",,"False"
"Note Expression","Double-Click opens Note Expression Editor On/Off",,"False"
"Note Expression","Edit Next Parameter",,"False"
"Note Expression","Edit Previous Parameter",,"False"
"Note Expression","Editor Size: Decrease",,"False"
"Note Expression","Editor Size: Increase",,"False"
"Note Expression","Note Expression MIDI Setup",,"False"
"Note Expression","Open/Close Editor",,"False"
"Note Expression","Paste Note Expression",,"False"
"Note Expression","Record MIDI as Note Expression",,"False"
"Note Expression","Remove Note Expression",,"False"
"Note Expression","Resolve Note Expression",,"False"
"Note Expression","Show/Hide Note Expression Data",,"False"
"Note Expression","Trim Note Expression to Note Length",,"False"
"Nudge","Bottom Down","Alt+Down Arrow","True"
"Nudge","Bottom Up","Alt+Shift+Up Arrow","True"
"Nudge","Down","Ctrl+Num-","True"
"Nudge","Down More","Ctrl+Num*","True"
"Nudge","End Left","Alt+Shift+Left Arrow","True"
"Nudge","End Right","Alt+Right Arrow","True"
"Nudge","Left","Ctrl+Left Arrow","True"
"Nudge","Link to Grid On/Off","Ctrl+Num/","True"
"Nudge","Loop Range Left","Ctrl+Num.","True"
"Nudge","Loop Range Right",,"False"
"Nudge","Right","Ctrl+Right Arrow","True"
"Nudge","Select Next Grid Type Value",,"False"
"Nudge","Select Next Time Format",,"False"
"Nudge","Select Prev Grid Type Value",,"False"
"Nudge","Select Prev Time Format",,"False"
"Nudge","Start Left","Alt+Left Arrow","True"
"Nudge","Start Right","Alt+Shift+Right Arrow","True"
"Nudge","Top Down","Alt+Shift+Down Arrow","True"
"Nudge","Top Up","Alt+Up Arrow","True"
"Nudge","Up",,"False"
"Nudge","Up More",,"False"
"Pattern Editor","Add Every 2nd Step",,"False"
"Pattern Editor","Add Every 3rd Step",,"False"
"Pattern Editor","Add Every 4th Step",,"False"
"Pattern Editor","Add Step Lane",,"False"
"Pattern Editor","Apply Legato to All Steps",,"False"
"Pattern Editor","Convert Pattern Event to MIDI Part",,"False"
"Pattern Editor","Double Length of Pattern",,"False"
"Pattern Editor","Double Step Resolution of Pattern",,"False"
"Pattern Editor","Double Step Resolution of Step Lane",,"False"
"Pattern Editor","Nudge Pattern Left",,"False"
"Pattern Editor","Nudge Pattern Right",,"False"
"Pattern Editor","Randomize Parameter",,"False"
"Pattern Editor","Randomize Pattern",,"False"
"Pattern Editor","Randomize Step Lane",,"False"
"Pattern Editor","Remove all Steps from Pattern",,"False"
"Pattern Editor","Remove all Steps from Step Lane",,"False"
"Pattern Editor","Remove Legato From All Steps",,"False"
"Pattern Editor","Remove Step Lane",,"False"
"Pattern Editor","Rename Pattern",,"False"
"Pattern Editor","Rename Step Lane",,"False"
"Pattern Editor","Sort Step Lanes",,"False"
"Pattern Editor","Split All Tied Steps",,"False"
"Pattern Editor","Tie All Adjacent Steps",,"False"
"Preferences","Audio - Append Clip Name to Event Name",,"False"
"Preferences","Audio - Background Color Modulation",,"False"
"Preferences","Audio - Create Audio Images During Record",,"False"
"Preferences","Audio - Default Warping Algorithm",,"False"
"Preferences","Audio - Enable Automatic Hitpoint Detection",,"False"
"Preferences","Audio - Interpolate Audio Waveforms",,"False"
"Preferences","Audio - On Bouncing/Rendering Audio",,"False"
"Preferences","Audio - On Processing Shared Clips",,"False"
"Preferences","Audio - Remove Regions/Hitpoints on all Offline Processes",,"False"
"Preferences","Audio - Show Event Volume Control",,"False"
"Preferences","Audio - Show Event Volume Curve",,"False"
"Preferences","Audio - Show Fades",,"False"
"Preferences","Audio - Show Hitpoints on Selected Events",,"False"
"Preferences","Audio - Show Waveforms",,"False"
"Preferences","Audio - Simple Crossfade Editor",,"False"
"Preferences","Audio - Snap to Zero Crossing",,"False"
"Preferences","Audio - Time Stretch Tool Algorithm",,"False"
"Preferences","Audio - Treat Muted Audio Events like Deleted",,"False"
"Preferences","Audio - Use Mouse Wheel for Event Volume and Fades",,"False"
"Preferences","Audio - When Recording Wave Files larger than 4 GB",,"False"
"Preferences","Control Room - Auto Disable Talkback Mode",,"False"
"Preferences","Control Room - Dim Cue during Talkback",,"False"
"Preferences","Control Room - Exclusive Device Ports for Monitor Channels",,"False"
"Preferences","Control Room - Show Control Room Volume in Transport Panel",,"False"
"Preferences","Control Room - Use Phones Channel as Preview Channel",,"False"
"Preferences","Controls - Knob Mode",,"False"
"Preferences","Controls - Mouse Wheel Mode (Changing Parameters via Mouse Wheel)",,"False"
"Preferences","Controls - Slider Mode",,"False"
"Preferences","Controls - Value Box/Time Control Mode",,"False"
"Preferences","Editing - Auto Select Events under Cursor",,"False"
"Preferences","Editing - Cycle Follows Range Selection",,"False"
"Preferences","Editing - Default Track Time Type",,"False"
"Preferences","Editing - Delete Overlaps",,"False"
"Preferences","Editing - Display Warning before Deleting Non-Empty Tracks",,"False"
"Preferences","Editing - 'Edit Solo'/'Record in MIDI Editors' follow Focus",,"False"
"Preferences","Editing - Lock Event Attributes",,"False"
"Preferences","Editing - Parts Get Track Names",,"False"
"Preferences","Editing - Range Selection Follows Track Selection",,"False"
"Preferences","Editing - Range Tool Splits Partly Selected Events",,"False"
"Preferences","Editing - Select Track on Background Click",,"False"
"Preferences","Editing - Track Selection Follows Event Selection",,"False"
"Preferences","Editing - Use Up/Down Navigation Commands for Selecting Tracks only",,"False"
"Preferences","Editors - Double-click Destination",,"False"
"Preferences","Editors - Editor Content Follows Event Selection",,"False"
"Preferences","Editors - Open Command Destination",,"False"
"Preferences","Editors - Use Drum Editor when Drum Map is assigned",,"False"
"Preferences","Event Display - Hide Truncated Event Names",,"False"
"Preferences","Event Display - Highlight Borders of Selected Events",,"False"
"Preferences","Event Display - Show Event Names",,"False"
"Preferences","Event Display - Show Overlaps",,"False"
"Preferences","Event Display - Smallest Track Height To Show Data",,"False"
"Preferences","Event Display - Smallest Track Height To Show Name",,"False"
"Preferences","Folders - Apply Color of Folder Track Automatically",,"False"
"Preferences","Folders - Show Data on Folder Tracks",,"False"
"Preferences","Folders - Show Event Details",,"False"
"Preferences","General - Auto Save",,"False"
"Preferences","General - Enable Usage Logging",,"False"
"Preferences","General - Open Last Project on Startup",,"False"
"Preferences","General - Open Projects in Last Used View",,"False"
"Preferences","General - Run Setup on Create New Project",,"False"
"Preferences","General - Show Tips",,"False"
"Preferences","Markers - Show Marker Lines",,"False"
"Preferences","MediaBay - Allow Editing in Results List",,"False"
"Preferences","MediaBay - Scan Folders only when MediaBay is open",,"False"
"Preferences","MediaBay - Scan unknown File Types",,"False"
"Preferences","MediaBay - Show File Extensions in Results List",,"False"
"Preferences","Metering - Map Input Bus Metering to Audio Track (in Direct Monitoring)",,"False"
"Preferences","MIDI - Add Latency to MIDI-Thru Processing",,"False"
"Preferences","MIDI - ASIO Latency Compensation Active by Default",,"False"
"Preferences","MIDI - Audition through MIDI Inserts/Sends",,"False"
"Preferences","MIDI - High Resolution Display Format",,"False"
"Preferences","MIDI - High Resolution Display Range",,"False"
"Preferences","MIDI - Insert Reset Events after Record",,"False"
"Preferences","MIDI - Legato Mode: Between Selected Notes Only",,"False"
"Preferences","MIDI - MIDI Thru Active",,"False"
"Preferences","MIDI - MIDI-CI Support",,"False"
"Preferences","MIDI - Never Reset Chased Controllers",,"False"
"Preferences","MIDI - Part Data Mode",,"False"
"Preferences","MIDI - Record-Enable allows MIDI Thru",,"False"
"Preferences","MIDI - Replace Recording in Editors",,"False"
"Preferences","MIDI - Reset on Stop",,"False"
"Preferences","MIDI - Select Controllers in Note Range: Use Extended Note Context",,"False"
"Preferences","MIDI - Show Controllers",,"False"
"Preferences","MIDI - Snap MIDI Parts to Bars",,"False"
"Preferences","MIDI - Split MIDI Controllers",,"False"
"Preferences","MIDI - Split MIDI Events",,"False"
"Preferences","Plug-Ins - Create MIDI track when loading VSTi",,"False"
"Preferences","Plug-Ins - Open Effect Editor After Loading it",,"False"
"Preferences","Plug-Ins - Plug-in Editors ""Always on Top""",,"False"
"Preferences","Plug-Ins - Suspend VST 3 plug-in processing when no audio signals are received",,"False"
"Preferences","Plug-Ins - Synchronize Plug-in Program Selection to Track Selection",,"False"
"Preferences","Plug-Ins - Warn Before Removing Modified Effects",,"False"
"Preferences","Project & MixConsole - Deep Track Folding",,"False"
"Preferences","Project & MixConsole - Enable Record on Selected Audio Track",,"False"
"Preferences","Project & MixConsole - Enable Record on Selected MIDI Track",,"False"
"Preferences","Project & MixConsole - Enable Solo on Selected Track",,"False"
"Preferences","Project & MixConsole - Scroll to selected Track",,"False"
"Preferences","Project & MixConsole - Select Channel/Track on Edit Settings",,"False"
"Preferences","Project & MixConsole - Select Channel/Track on Solo",,"False"
"Preferences","Project & MixConsole - Sync Selection in Project Window and MixConsole",,"False"
"Preferences","Project & MixConsole - Zoom Tracks Exclusive",,"False"
"Preferences","Score Editor - 'Acoustic Feedback' When Inputting Notes With the Draw Tool",,"False"
"Preferences","Score Editor - Default Paper Size Type",,"False"
"Preferences","Score Editor - Preferred Unit of Measurement",,"False"
"Preferences","Score Editor - Staff Labels Show Track Name Instead of Instrument Name by Default",,"False"
"Preferences","Scrub - Use High Quality Scrub Mode",,"False"
"Preferences","Scrub - Use Inserts While Scrubbing",,"False"
"Preferences","Tools - Select Tool: Show Extra Info",,"False"
"Preferences","Tools - Show Horizontal Cross Hair Cursor Line",,"False"
"Preferences","Tools - Show Notification when Switching Tool Mode with Key Command",,"False"
"Preferences","Tools - Show Toolbox on Right-Click",,"False"
"Preferences","Tools - Show Vertical Cross Hair Cursor Line",,"False"
"Preferences","Track & MixConsole Channel Colors - Auto Track/Channel Color Mode",,"False"
"Preferences","Tracks - Track Name Font Weight",,"False"
"Preferences","Transport - Clicking Locator Range in Upper Part of the Ruler Activates Cycle",,"False"
"Preferences","Transport - Locate when Clicked in Empty Space",,"False"
"Preferences","Transport - Playback Toggle triggers Local Preview",,"False"
"Preferences","Transport - Show Timecode Subframes",,"False"
"Preferences","Transport - Stop playback while winding",,"False"
"Preferences","Transport Record - Deactivate Punch In on Stop",,"False"
"Preferences","Transport Record - Stop after Automatic Punch Out",,"False"
"Preferences","VariAudio - Inhibit warning when applying Offline Processes",,"False"
"Preferences","VariAudio - Inhibit warning when changing the Sample Data",,"False"
"Preferences","Video - Extract Audio on Import Video File",,"False"
"Preferences","VST - Activate 'Link Panners' for New Tracks",,"False"
"Preferences","VST - Auto Monitoring",,"False"
"Preferences","VST - Connect Sends automatically for each newly created Channel",,"False"
"Preferences","VST - Default Send Level",,"False"
"Preferences","VST - Default Stereo Panner Mode",,"False"
"Preferences","VST - Do Not Connect Input/Output Busses When Loading External Projects",,"False"
"Preferences","VST - Group Channels: Mute Sources as well",,"False"
"Preferences","VST - Instruments use Automation Read All and Write All",,"False"
"Preferences","VST - Mute Pre-Send when Mute",,"False"
"Preferences","VST - Warn if real time mixdown is required in order to include external plug-in.",,"False"
"Preferences","VST - Warn on Channel Configuration Change",,"False"
"Preferences","VST - Warn on Processing Overloads",,"False"
"Preferences","Zoom - Quick Zoom",,"False"
"Preferences","Zoom - Use Selection Start as Zoom Anchor",,"False"
"Preferences","Zoom - Zoom Tool Standard Mode: Horizontal Zooming Only",,"False"
"Preferences","Zoom - Zoom while Locating in Time Scale",,"False"
"Preset","Next",,"False"
"Preset","Open Browser",,"False"
"Preset","Previous",,"False"
"Preset","Track Preset: Next",,"False"
"Preset","Track Preset: Open Browser",,"False"
"Preset","Track Preset: Previous",,"False"
"Preset","Track Preset: Reload",,"False"
"Process","Envelope",,"False"
"Process","Fade In",,"False"
"Process","Fade Out",,"False"
"Process","Gain",,"False"
"Process","Invert Phase",,"False"
"Process","Normalize",,"False"
"Process","Pitch Shift",,"False"
"Process","Remove DC Offset",,"False"
"Process","Resample",,"False"
"Process","Reverse",,"False"
"Process","Silence",,"False"
"Process","Stereo Flip",,"False"
"Process","Time Stretch",,"False"
"Process Logical Preset","+10%",,"False"
"Process Logical Preset","+10% in Chord",,"False"
"Process Logical Preset","+10% in Scale",,"False"
"Process Logical Preset","+10% to Downbeat 2_4",,"False"
"Process Logical Preset","+10% to Downbeat 3_4",,"False"
"Process Logical Preset","+10% to Downbeat 4_4",,"False"
"Process Logical Preset","+10% to Off-Beat 2_4",,"False"
"Process Logical Preset","+10% to Off-Beat 3_4",,"False"
"Process Logical Preset","+10% to Off-Beat 4_4",,"False"
"Process Logical Preset","-10%",,"False"
"Process Logical Preset","-10% for Off-Beat 3_4",,"False"
"Process Logical Preset","-10% for Off-Beat 4_4",,"False"
"Process Logical Preset","-10% in Chord",,"False"
"Process Logical Preset","-10% in Scale",,"False"
"Process Logical Preset","-10% to Downbeat 2_4",,"False"
"Process Logical Preset","-10% to Downbeat 3_4",,"False"
"Process Logical Preset","-10% to Downbeat 4_4",,"False"
"Process Logical Preset","-10% to Off-Beat 2_4",,"False"
"Process Logical Preset","-20 Velocity for Notes Not on Beat",,"False"
"Process Logical Preset","Add Higher Octave to All Notes before Cursor",,"False"
"Process Logical Preset","Add Higher Octave to All Notes beyond Cursor",,"False"
"Process Logical Preset","Add Lower Octave to All Notes before Cursor",,"False"
"Process Logical Preset","Add Lower Octave to All Notes beyond Cursor",,"False"
"Process Logical Preset","Add Sub Bass to Chords",,"False"
"Process Logical Preset","Change Major Chord to Minor Chord",,"False"
"Process Logical Preset","Change Minor Chord to Major Chord",,"False"
"Process Logical Preset","Compress Notes Velocity Higher Than 100 to 80%",,"False"
"Process Logical Preset","Convert MIDI Expression to VST3 Volume",,"False"
"Process Logical Preset","Copy CC1 (Modulation) of Ch1 to Ch2",,"False"
"Process Logical Preset","Copy CC11 (Expression) of Ch1 to Ch2",,"False"
"Process Logical Preset","Copy Highest Note in Chords to New Track",,"False"
"Process Logical Preset","Copy Note Velocity to CC1 (Modulation) Value",,"False"
"Process Logical Preset","Copy Note Velocity to CC11 (Expression) Value",,"False"
"Process Logical Preset","Create Pan One Shot",,"False"
"Process Logical Preset","Create Random Pan",,"False"
"Process Logical Preset","Create Random VST3 Detune",,"False"
"Process Logical Preset","Create Tuning One Shot",,"False"
"Process Logical Preset","Crescendo in Cycle Range",,"False"
"Process Logical Preset","Decrescendo in Cycle Range",,"False"
"Process Logical Preset","Delete All Data in Selected Cycle Markers",,"False"
"Process Logical Preset","Delete Every 5th Note",,"False"
"Process Logical Preset","Delete Fifths from Chords with 3 or More Voices",,"False"
"Process Logical Preset","Delete Melody Line",,"False"
"Process Logical Preset","Delete Minor Sevenths of Chords",,"False"
"Process Logical Preset","Delete Muted Events",,"False"
"Process Logical Preset","Delete Notes Out of Chord",,"False"
"Process Logical Preset","Delete Notes Out of Scale",,"False"
"Process Logical Preset","Delete Program Change",,"False"
"Process Logical Preset","Delete Program Change & Bank Select",,"False"
"Process Logical Preset","Delete Short Notes",,"False"
"Process Logical Preset","Delete SysEx",,"False"
"Process Logical Preset","Deselect Lowest Notes in Chords",,"False"
"Process Logical Preset","Double Tempo",,"False"
"Process Logical Preset","Erase Note Expression in Cycle",,"False"
"Process Logical Preset","Every Other Hi-Hat (F#1) Velocity -40",,"False"
"Process Logical Preset","Expand Notes Velocity Lower than 20 to 120%",,"False"
"Process Logical Preset","Extract 3rd Positions in Chord to Lanes",,"False"
"Process Logical Preset","Extract Kick Drum (C1) to New Track",,"False"
"Process Logical Preset","Extract Snare Drum (D1) to New Track",,"False"
"Process Logical Preset","Extract Volume and Pan",,"False"
"Process Logical Preset","Half Tempo",,"False"
"Process Logical Preset","Increase Length +1 Frame",,"False"
"Process Logical Preset","Increase Length +10 Ticks",,"False"
"Process Logical Preset","Invert Values",,"False"
"Process Logical Preset","Pitchbend to VST3 Tuning",,"False"
"Process Logical Preset","Quantize to Quarter Notes",,"False"
"Process Logical Preset","Randomize Length to 16th +-10%",,"False"
"Process Logical Preset","Randomize Length to 4th +-10%",,"False"
"Process Logical Preset","Randomize Length to 8th +-10%",,"False"
"Process Logical Preset","Randomize Notes (C3 to C5)",,"False"
"Process Logical Preset","Randomize Position +-10 Ticks",,"False"
"Process Logical Preset","Randomize Velocity Relatively (-10 to 10)",,"False"
"Process Logical Preset","Remove All MIDI Data Inside Note Expression",,"False"
"Process Logical Preset","Remove All VST3 Events",,"False"
"Process Logical Preset","Remove Invalid VST3 Parameter",,"False"
"Process Logical Preset","Select Aftertouch in Cycle Range",,"False"
"Process Logical Preset","Select All Notes That Start at the Beginning of the Bar",,"False"
"Process Logical Preset","Select Chord Notes",,"False"
"Process Logical Preset","Select Every Other Hi-Hat (F#1)",,"False"
"Process Logical Preset","Select Every Other Note",,"False"
"Process Logical Preset","Select Melody Line",,"False"
"Process Logical Preset","Select MIDI CCs in Cycle Range",,"False"
"Process Logical Preset","Select notes assigned to any voice",,"False"
"Process Logical Preset","Select Notes in Chord",,"False"
"Process Logical Preset","Select Notes in Cycle Range",,"False"
"Process Logical Preset","Select Notes in Scale",,"False"
"Process Logical Preset","Select Pitchbend in Cycle Range",,"False"
"Process Logical Preset","Select Scale Notes",,"False"
"Process Logical Preset","Set Notes to Fixed Pitch (C3)",,"False"
"Process Logical Preset","Shift All CC Positions +1 Frame",,"False"
"Process Logical Preset","Shift All CC Positions +10 Ticks",,"False"
"Process Logical Preset","Shift All CC Positions -1 Frame",,"False"
"Process Logical Preset","Shift All CC Positions -10 Ticks",,"False"
"Process Logical Preset","Shift Every 2nd Note +10 Ticks",,"False"
"Process Logical Preset","Shift Every 2nd Note -10 Ticks",,"False"
"Process Logical Preset","Shift Position +1 Frame",,"False"
"Process Logical Preset","Shift Position +10 Ticks",,"False"
"Process Logical Preset","Shift Position -1 Frame",,"False"
"Process Logical Preset","Shift Position -10 Ticks",,"False"
"Process Logical Preset","Shorten Length -1 Frame",,"False"
"Process Logical Preset","Shorten Length -10 Ticks",,"False"
"Process Logical Preset","Transform Velocity +10%",,"False"
"Process Logical Preset","Transform Velocity -10%",,"False"
"Process Logical Preset","Transpose 1 Octave up When Sustain Pedal Is Down",,"False"
"Process Logical Preset","Transpose All D Pitches to D-2",,"False"
"Process Logical Preset","Transpose All Notes before Cursor 1 Octave Down",,"False"
"Process Logical Preset","Transpose All Notes before Cursor 1 Octave Up",,"False"
"Process Logical Preset","Transpose All Notes beyond Cursor 1 Octave Down",,"False"
"Process Logical Preset","Transpose All Notes beyond Cursor 1 Octave Up",,"False"
