"Name","UID","InBus","OutBus","Latency","SidechainBus"
"Pitch Correct","10F9FE4142694F1EAC21E294B42577C6","0","0","0","0"
"REVerence","ED824AB48E0846D5959682F5626D0972","1","1","1024","0"
"RoomWorks","56535452655641726F6F6D776F726B73","1","1","0","0"
"RoomWorks SE","56535452655642726F6F6D776F726B73","1","1","0","0"
"REVelation","143AE812D7E249D8B503B4A6E3EFC9F8","1","1","0","0"
"MonoToStereo","1AF350AC983B46CAB104990A0726EAD6","0","0","0","0"
"StereoEnhancer","77BBA7CA90F14C9BB298BA9010D6DD78","1","1","0","0"
"Imager","71EDAB139B8740F78CC418BB21980B08","0","0","0","0"
"Mix6To2","5653544D6936326D697836746F320000","0","0","0","0"
"Mix8To2","5653544D6938326D697838746F320000","0","0","0","0"
"MixerDelay","56535453444D436D6978657264656C61","0","0","0","0"
"SMPTEGenerator","5653545463476E736D70746567656E65","0","0","0","0"
"TestGenerator","56535447656E327465737467656E6572","0","0","0","0"
"Tuner","6B9B08D2CA294270BF092A62865521BF","0","0","0","0"
"SuperVision","56535453636F336D756C746973636F70","2","1","0","1"
"MixConvert V6","4A18B5A88A6B44D4B78F6E2FCC4746A2","1","1","0","0"
"VST MultiPanner","A3CA1186A3A241FEA552717108932238","1","1","0","0"
"VST AmbiDecoder","0CDBB66985D548A9BFD8371909D24BB4","2","1","0","1"
"Standard Panner","44E1149EDB3E4387BDD827FEA3A39EE7","1","1","0","0"
"Omnisphere","565354416D62726F6D6E697370686572","0","9","0","0"
"Efx MOTIONS","41727475415649534D6F746950726F63","2","1","60","1"
"Kick 2","56535453414B326B69636B2032000000","1","1","480","0"
"Analog Lab V","4172747541564953416C617650726F63","1","1","96","1"
"Cryogen","ABCDEF019182FAEB476C4D61476C6372","1","1","0","0"
"SEM","ABCDEF019182FAEB47466F724773656D","0","1","0","0"
"Acid V","41727475415649535433303350726F63","0","1","96","0"
"ARP 2600 V3","41727475415649534152503350726F63","0","0","0","0"
"Buchla Easel V","41727475415649534275456150726F63","1","1","44","0"
"CMI V","4172747541564953434D497650726F63","0","1","32","0"
"CS-80 V4","41727475415649534353563450726F63","0","0","0","0"
"CZ V","41727475415649534373437A50726F63","0","0","0","0"
"DX7 V","41727475415649534478373150726F63","0","0","0","0"
"Emulator II V","4172747541564953456D753150726F63","0","1","44","0"
"Jun-6 V","41727475415649534A756E3150726F63","0","1","44","0"
"Jup-8 V4","41727475415649534A55503450726F63","0","0","0","0"
"KORG MS-20 V","41727475415649534B4D535650726F63","1","1","44","1"
"Matrix-12 V2","41727475415649534D61743250726F63","0","0","0","0"
"Mini V3","41727475415649534D494E3350726F63","0","0","0","0"
"MiniFreak V","41727475415649534D6E465650726F63","1","1","44","1"
"Modular V3","41727475415649534D4F443350726F63","1","1","44","0"
"OP-Xa V","41727475415649534F42586150726F63","0","0","0","0"
"Prophet-5 V","417274754156495350524F3550726F63","0","0","0","0"
"Prophet-VS V","41727475415649535052565350726F63","0","1","44","0"
"SEM V2","41727475415649534F42533250726F63","0","0","0","0"
"SQ80 V","41727475415649535351383050726F63","0","0","0","0"
"Synclavier V","41727475415649535379636C50726F63","0","0","0","0"
"Synthi V","4172747541564953534E544850726F63","0","0","0","0"
"Vocoder V","4172747541564953566F636F50726F63","0","0","0","0"
"Diva","D39D5B69D6AF42FA1234567844695661","0","1","16","0"
"FabFilter Micro","565354464D696366616266696C746572","0","0","0","0"
"FabFilter Micro (Mono)","565354464D693266616266696C746572","0","0","0","0"
