"Name","UID","InBus","OutBus","Latency","SidechainBus"
"FdnReverb","ABCDEF019182FAEB49454D4146645265","0","0","0","0"
"GranularEncoder","ABCDEF019182FAEB49454D414772456E","0","0","0","0"
"MatrixMultiplier","ABCDEF019182FAEB49454D414D614D75","0","0","0","0"
"MultiBandCompressor","ABCDEF019182FAEB49454D414D75436F","0","0","0","0"
"MultiEncoder","ABCDEF019182FAEB49454D414D75456E","1","1","0","0"
"MultiEQ","ABCDEF019182FAEB49454D414D754551","0","0","0","0"
"OmniCompressor","ABCDEF019182FAEB49454D414F6D436F","0","0","0","0"
"ProbeDecoder","ABCDEF019182FAEB49454D4150724465","0","0","0","0"
"RoomEncoder","ABCDEF019182FAEB49454D41526F456E","0","0","0","0"
"SceneRotator","ABCDEF019182FAEB49454D415363526F","0","0","0","0"
"SimpleDecoder","ABCDEF019182FAEB49454D4153694465","0","0","0","0"
"StereoEncoder","ABCDEF019182FAEB49454D415374456E","0","0","0","0"
"ToolBox","ABCDEF019182FAEB49454D41546F426F","0","0","0","0"
"SPAN","584EDC40D3864AA19F0CD33B971765B1","0","0","0","0"
"Youlean Loudness Meter 2","F2AEE70D00DE4F4E6774755975726259","0","0","0","0"
"AllRADecoder","565354416C5261616C6C72616465636F","1","1","0","0"
"BinauralDecoder","5653544269446562696E617572616C64","0","0","0","0"
"CoordinateConverter","565354436F436F636F6F7264696E6174","0","0","0","0"
"DirectionalCompressor","5653544469436F646972656374696F6E","0","0","0","0"
"DirectivityShaper","56535444695368646972656374697669","1","1","0","0"
"DistanceCompensator","5653544469734364697374616E636563","0","0","0","0"
"DualDelay","565354447544656475616C64656C6179","0","0","0","0"
"EnergyVisualizer","565354456E5669656E65726779766973","0","0","0","0"
"FdnReverb","5653544664526566646E726576657262","0","0","0","0"
"GranularEncoder","5653544772456E6772616E756C617265","0","0","0","0"
"Guitar Rig 5","5653544E694735677569746172207269","0","0","0","0"
"Maschine","5653544E694D536D61736368696E6500","4","16","0","0"
"Maschine FX","5653544E694D546D61736368696E6520","0","0","0","0"
"MatrixMultiplier","5653544D614D756D61747269786D756C","0","0","0","0"
"MultiBandCompressor","5653544D75436F6D756C746962616E64","0","0","0","0"
"MultiEQ","5653544D7545516D756C746965710000","0","0","0","0"
"MultiEncoder","5653544D75456E6D756C7469656E636F","0","0","0","0"
"OmniCompressor","5653544F6D436F6F6D6E69636F6D7072","0","0","0","0"
"ProbeDecoder","5653545072446570726F62656465636F","0","0","0","0"
"RoomEncoder","565354526F456E726F6F6D656E636F64","0","0","0","0"
"SceneRotator","5653545363526F7363656E65726F7461","0","0","0","0"
"SimpleDecoder","5653545369446573696D706C65646563","0","0","0","0"
"StereoEncoder","5653545374456E73746572656F656E63","0","0","0","0"
"ToolBox","565354546F426F746F6F6C626F780000","0","0","0","0"
"Auto-Key","ABCDEF019182FAEB416E7472414B6579","0","0","0","0"
"Auto-Tune EFX+","ABCDEF019182FAEB416E747256656678","0","0","0","0"
"Auto-Tune Pro","565354415438314175746F2D54756E65","0","0","0","0"
"Slice","ABCDEF019182FAEB416E7472536C6365","0","0","0","0"
"SoundSoap","ABCDEF019182FAEB416E7472536F5350","0","0","0","0"
"Vocal Compressor","ABCDEF019182FAEB416E747256786370","0","0","0","0"
"Vocal EQ","ABCDEF019182FAEB416E747256786571","0","0","0","0"
"Vocodist","ABCDEF019182FAEB416E747245633277","0","0","0","0"
"AutoTune","ABCDEF019182FAEB416E7472436F7265","0","0","0","0"
"Articulator","565354564D713541564F582041525449","2","1","0","1"
"Aspire","565354416E744841564F582041535049","0","0","0","0"
"Choir","565354416E744341564F582043484F49","0","0","0","0"
"Duo","565354416E744441564F582044554F00","0","0","0","0"
"Mutator","565354564D723441564F58204D555441","0","0","0","0"
"Punch","565354416E4D7841564F582050554E43","0","0","0","0"
"Throat","565354564D723241564F58205448524F","0","0","0","0"
"Warm","565354416E545541564F58205741524D","0","0","0","0"
"Harmony Engine","565354484534314861726D6F6E792045","0","0","0","0"
"RX 11 Breath Control","565354725A4F31525820313120427265","0","0","0","0"
"RX 11 Connect","565354725A4C31525820313120436F6E","0","0","0","0"
"RX 11 De-click","565354725A4B3152582031312044652D","0","0","0","0"
"RX 11 De-clip","565354725A503152582031312044652D","0","0","0","0"
"RX 11 De-crackle","565354725A433152582031312044652D","0","0","0","0"
"RX 11 De-ess","565354725A453152582031312044652D","0","0","0","0"
"RX 11 De-hum","565354725A483152582031312044652D","0","0","0","0"
"RX 11 De-plosive","565354725A423152582031312044652D","0","0","0","0"
"RX 11 De-reverb","565354725A563152582031312044652D","0","0","0","0"
"RX 11 Dialogue Isolate","565354725A4931525820313120446961","0","0","0","0"
"RX 11 Guitar De-noise","565354725A4731525820313120477569","0","0","0","0"
"RX 11 Monitor","565354725A4D315258203131204D6F6E","0","0","0","0"
"RX 11 Mouth De-click","565354725A55315258203131204D6F75","0","0","0","0"
"RX 11 Repair Assistant","56535472524531525820313120526570","0","0","0","0"
"RX 11 Spectral De-noise","565354725A4E31525820313120537065","0","0","0","0"
"RX 11 Spectral Editor","565354725A5331525820313120537065","0","0","0","0"
"RX 11 Voice De-noise","565354725A4431525820313120566F69","0","0","0","0"
"Metamorph","ABCDEF019182FAEB416E74724D727068","0","0","0","0"
"Mic Mod","5653544D6963584D6963204D6F642045","0","0","0","0"
"SonoBus","ABCDEF019182FAEB536F6E6F4E427573","0","0","0","0"
"SonoBusInstrument","ABCDEF019182FAEB536F6E6F49427573","0","0","0","0"
"Vocal De-Esser","ABCDEF019182FAEB416E747256647372","0","0","0","0"
"Vocal Reverb","ABCDEF019182FAEB416E747256727662","0","0","0","0"
"Melodyne","5653544D6C70676D656C6F64796E6520","0","0","0","0"
"Stutter Edit 2","ABCDEF019182FAEB695A747053744532","1","1","0","0"
"Externer Effekt","01363426A6E545F586873E4FFF677C44","0","0","0","0"
"FX-Omnisphere","84E832219255298796FAE6663C935655","0","0","0","0"
"FX-Omnisphere","565354416D465866782D6F6D6E697370","0","0","0","0"
"LX480Complete","5653545F4C58346C78343830636F6D70","0","0","0","0"
